,County_Name,Executions,County_Codes
0,Harris,129,48201
1,Dallas,62,48113
2,Bexar,46,48029
3,Tarrant,44,48439
4,Montgomery,16,48339
5,Nueces,16,48355
6,Jefferson,15,48245
7,Smith,13,48423
8,Lubbock,13,48303
9,Brazos,12,48041
10,Potter,11,48375
11,McLennan,8,48309
12,Travis,8,48453
13,Collin,8,48085
14,Hidalgo,7,48215
15,Galveston,6,48167
16,Navarro,6,48349
17,Denton,6,48121
18,Cameron,6,48061
19,Gregg,5,48183
20,Fort Bend,5,48157
21,Taylor,5,48441
22,Bowie,5,48037
23,Brazoria,4,48039
24,El Paso,4,48141
25,Anderson,4,48001
26,Hunt,4,48231
27,Randall,3,48381
28,Williamson,3,48491
29,Grayson,3,48181
30,Liberty,3,48291
31,Bell,3,48027
32,Tom Green,3,48451
33,Cherokee,3,48073
34,Walker,3,48471
35,Kerr,3,48265
36,Johnson,3,48251
37,Comal,2,48091
38,Hale,2,48189
39,Polk,2,48373
40,Bee,2,48025
41,Parker,2,48367
42,Henderson,2,48213
43,Wilbarger,2,48487
44,Refugio,2,48391
45,Hopkins,2,48223
46,Victoria,2,48469
47,Leon,2,48289
48,Pecos,2,48371
49,Lamar,2,48277
50,Ellis,2,48139
51,Red River,2,48387
52,Wichita,2,48485
53,Matagorda,2,48321
54,Wood,1,48499
55,Clay,1,48077
56,Newton,1,48351
57,Wharton,1,48481
58,Hamilton,1,48193
59,Shelby,1,48419
60,Upshur,1,48459
61,Kaufman,1,48257
62,Titus,1,48449
63,Morris,1,48343
64,Harrison,1,48203
65,Val Verde,1,48465
66,San Patricio,1,48409
67,San Jacinto,1,48407
68,Houston,1,48225
69,Sabine,1,48403
70,Gillespie,1,48171
71,Madison,1,48313
72,Llano,1,48299
73,Jones,1,48253
74,Coryell,1,48099
75,Aransas,1,48007
76,Chambers,1,48071
77,Nacogdoches,1,48347
78,Atascosa,1,48013
79,Bailey,1,48017
80,Freestone,1,48161
81,Lee,1,48287
82,Jasper,1,48241
83,Brown,1,48049
84,Kleberg,1,48273
85,Dawson,1,48115
86,Scurry,1,48415
87,Kendall,1,48259
88,Caldwell,1,48055
89,Crockett,1,48105
90,Bastrop,1,48021
91,Hardin,1,48199
92,Milam,1,48331
93,Trinity,1,48455
